company_name,company_category,description,tag_list,founded_at,country,state,region, funding_total_usd ,funded_at,funded_year,funded_quarter,CB_URL,homepage_url
280 North,software,JavaScript web applications,"presentations, powerpoint, desktop",,,,unknown," 250,000 ",3/1/2008,2008,2008-Q1,http://www.crunchbase.com/company/280-north,http://280north.com
Greenbird Integration Technology,software,Open Integration Technology,"soa, ami, amr, amm, integration, open-source, smart-meter, smart-metering, smart-grid, smart-integration, middleware, bpm, jee, esb, bpe",1/1/2010,NOR,,Oslo," 144,060 ",1/1/2010,2010,2010-Q1,http://www.crunchbase.com/company/greenbird-integration-technology,http://www.greenbird.com
Appsembler,software,SaaS as a Service,"open-source-saas, techstars, techstars-cloud-2012",,USA,MA,Boston," 118,000 ",1/1/2012,2012,2012-Q1,http://www.crunchbase.com/company/appsembler,http://appsembler.com
The App3,medical,Health IT startup,"emr, ehr, health-records, pharmacy, open-source, apps, mobile",12/1/2012,PRT,,Porto," 90,000 ",8/1/2013,2013,2013-Q3,http://www.crunchbase.com/company/the-app3,http://theapp3.com
Testif,enterprise,Knowledge assessment software,"exams, test, assessment, saas, open-source, analytic, reporting, student, recruiting, evaluation, classroom, elearning",6/1/2012,ESP,,Barcelona," 64,875 ",11/1/2012,2012,2012-Q4,http://www.crunchbase.com/company/testif,http://testif.com
Binpress,software,Marketplace for commercial open-source,"open-source, marketplace, developers, development, appstore, web, mobile",8/7/2010,USA,CA,SF Bay," 50,000 ",4/15/2013,2013,2013-Q2,http://www.crunchbase.com/company/binpress,http://www.binpress.com
IonLogix Systems,software,,"voice-over-ip, voip, technology-startup, asterisk, freevoiceline, free-long-distance",12/11/2007,USA,TX,Austin," 30,000 ",10/24/2008,2008,2008-Q4,http://www.crunchbase.com/company/ionlogix-systems,http://www.ionlogix.com
Ganos,software,A media company,"gudagi, work, project-management, file-hosting, open-source, e-commerce, online-commerce, mobile-web, mobile-web-application, transaction, transaction-provider",9/10/2010,,,unknown," 5,000 ",9/10/2010,2010,2010-Q3,http://www.crunchbase.com/company/ganos,http://ganos.biz
Jalbum,software,,"photo, community, software, sharing",1/1/2006,SWE,,Stockholm,,10/16/2008,2008,2008-Q4,http://www.crunchbase.com/company/jalbum,http://jalbum.net
North by South,software,Open source near-shoring,"latin-america, open-source, free-software, social-applications, web-applications, user-acquisition, linux, drupal, joomla, sugarcrm, freebsd, near-shoring, brazil, sao-paulo, migration, government",1/1/2007,USA,CA,SF Bay,,5/1/2008,2008,2008-Q2,http://www.crunchbase.com/company/north-by-south,http://www.northxsouth.com
OpenHatch,software,Open source software involvement engine ,open-source-community,5/1/2009,,,unknown,,,,,http://www.crunchbase.com/company/openhatch,http://openhatch.org
Snapt,software,Application Delivery and Acceleration,"foss, open-source, opensource, squid, haproxy, frontends, user-interfaces, load-balancing, caching",1/1/2011,ZAF,,Gauteng,,8/1/2011,2011,2011-Q3,http://www.crunchbase.com/company/snapt,http://www.snapt.net
4tiitoo,software,Natural User InterAction,"open-source, operating-system, touch-screen, mobile, linux, app-store, tablet, netbook, ultrabook, all-in-one, pc, eye-tracking, gestures, speech, nuia, natural-user-interaction, sdk",11/28/2007,DEU,,Munich,,11/15/2011,2011,2011-Q4,http://www.crunchbase.com/company/4tiitoo,http://www.4tiitoo.com
"Exist Software Labs, Inc.",software,,,,,,unknown,,12/1/2006,2006,2006-Q4,http://www.crunchbase.com/company/exist-software-labs-inc,http://www.exist.com
webtide,software,,,,,,unknown,,4/1/2007,2007,2007-Q2,http://www.crunchbase.com/company/webtide,http://www.webtide.com
Discourse,software,,,,,,unknown,,11/14/2012,2012,2012-Q4,http://www.crunchbase.com/company/discourse,http://www.discourse.org
SourceNinja,software,Solving Open Source Headaches,"opensource, security, performance",,,,unknown,,3/20/2012,2012,2012-Q1,http://www.crunchbase.com/company/source-ninja,http://www.sourceninja.com
CloudEngine,mobile,Open source backend for mobile apps,"mobile-backend-as-a-service, mbaas, open-source",6/1/2013,,,unknown,,9/3/2013,2013,2013-Q3,http://www.crunchbase.com/company/cloudengine,http://getcloudengine.net
TORCH.sh,enterprise,Lighting up yourbusiness data.,"analytics, log-management, machine-data, open-source",11/9/2012,DEU,,Hamburg,,11/25/2013,2013,2013-Q4,http://www.crunchbase.com/company/torch,http://www.torch.sh
Hull,web,Full stack social platform as a service,"social-as-a-service, open-source, developer-tools, techstars, techstars-boulder-2013",6/30/2012,FRA,,Paris,,5/13/2013,2013,2013-Q2,http://www.crunchbase.com/company/hull,http://hull.io
Node1,software,API strategy and execution,"sourcing, api, strategy, execution, europe, internet, innovation, nearshoring",3/1/2013,NLD,,Amsterdam,,3/1/2013,2013,2013-Q1,http://www.crunchbase.com/company/node1,http://www.node1.com
PushToTest,software,UX stress/load test platform,"pushtotest, open-source, testing, web, load-testing, selenium",1/1/2006,USA,CA,SF Bay,,2/1/2013,2013,2013-Q1,http://www.crunchbase.com/company/pushtotest,http://www.pushtotest.com
Diaspora,web,Open-Source Distributed Social Network,"open-source, social-network",4/30/2010,USA,CA,SF Bay,,8/1/2012,2012,2012-Q3,http://www.crunchbase.com/company/diaspora,http://joindiaspora.com
Bitnami,software,Simple application deployment,"cloud, open-source, hosting, sugarcrm, drupal, wordpress, redmine, alfresco, spain, san-francisco",1/1/2011,ESP,,Seville,,3/1/2013,2013,2013-Q1,http://www.crunchbase.com/company/bitnami,http://bitnami.com
Nanorex,nanotech,Computational Research in Nanotechnology,"nanotechnology, research, open-source",1/1/2004,,,unknown,,,,,http://www.crunchbase.com/company/nanorex,http://www.nanoengineer-1.com/content
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
