company_name,company_category,description,tag_list,founded_at,country,state,region,funding_total_usd,funded_at,funded_year,funded_quarter,cb_url,homepage_url
GoToTags,software,"Go ahead, touch it.","nfc, android, iphone, apple, wireless, app, google, advertising, geolocation, gps",2/1/2011,USA,WA,Seattle,5000,4/1/2011,2011,2011-Q2,/company/gototags,http://www.gototags.com
Ganos,software,A media company,"gudagi, work, project-management, file-hosting, open-source, e-commerce, online-commerce, mobile-web, mobile-web-application, transaction, transaction-provider",9/10/2010,,,unknown,5000,9/10/2010,2010,2010-Q3,/company/ganos,http://ganos.biz
Minor Studios,software,,"techcrunch50, tc50",,USA,CA,SF Bay,0,1/1/2009,2009,2009-Q1,/company/minor-studios,http://minorstudios.com
Mercury Intermedia,software,,"mobile, iphone, android",10/1/2004,USA,TN,Nashville,0,1/1/2007,2007,2007-Q1,/company/mercury-intermedia,http://www.mercuryintermedia.com
Grid Net,software,Smart grid software platform,"smart-grid-power, electric-meter, power-meter",1/1/2006,USA,CA,SF Bay,0,6/3/2008,2008,2008-Q2,/company/grid-net,http://www.grid-net.com
ByteShield,software,,"copy-protection, drm, digital-rights-management, illegal-copying, illegal, copying",9/1/2004,USA,CA,SF Bay,0,7/11/2008,2008,2008-Q3,/company/byteshield,http://www.byteshield.net
People and Pages,software,,groups,,,,unknown,0,1/1/2008,2008,2008-Q1,/company/people-and-pages,http://www.peopleandpages.com
Marketbright,software,Cloud Based SaaS Marketing Automation,"marketing, b2b, platform, lead-generation, demand-generation, marketing-automation",,USA,CA,SF Bay,0,8/1/2008,2008,2008-Q3,/company/marketbright,http://www.marketbright.com
Tacit Software,software,Collaboration Management Software,"expertise-search, knowledge-management, collaboration, software, enterprise-software, feed-reader, RSS",5/1/1997,USA,CA,SF Bay,0,8/1/2001,2001,2001-Q3,/company/tacit-software,http://www.tacit.com
Jalbum,software,,"photo, community, software, sharing",1/1/2006,SWE,,Stockholm,0,10/16/2008,2008,2008-Q4,/company/jalbum,http://jalbum.net
tsumobi,software,,,3/9/2007,USA,MA,Boston,0,1/1/2007,2007,2007-Q1,/company/tsumobi,http://tsumobi.com
Silicon Navigator Corporation,software,,,,USA,CA,SF Bay,0,4/3/2007,2007,2007-Q2,/company/silicon-navigator-corporation,http://www.sinavigator.com
4Blox,software,,,8/1/2006,USA,CA,SF Bay,0,9/10/2007,2007,2007-Q3,/company/4blox,http://www.4blox.com
StarWind Software,software,Storage Virtualization software,,10/1/2008,USA,MA,Boston,0,2/3/2009,2009,2009-Q1,/company/starwind-software,http://www.starwindsoftware.com
North by South,software,Open source near-shoring,"latin-america, open-source, free-software, social-applications, web-applications, user-acquisition, linux, drupal, joomla, sugarcrm, freebsd, near-shoring, brazil, sao-paulo, migration, government",1/1/2007,USA,CA,SF Bay,0,5/1/2008,2008,2008-Q2,/company/north-by-south,http://www.northxsouth.com
Skysheet,software,Web-based spreadseets,"y-combinator, excel, spreadsheet",1/1/2009,,,unknown,0,3/1/2009,2009,2009-Q1,/company/skysheet,http://www.skysheet.com
S.N. Safe&Software,software,antivirus security software,"antivirus, security-software",,RUS,,Moscow,0,3/2/2009,2009,2009-Q1,/company/s-n-safe-software,http://www.safensoft.com
PostRank,software,realtime social web engagement analytics,"rss, information-overload, personal-productivity, feed-management, analytics, social-media, measurement, monitoring",1/4/2007,CAN,,Waterloo,0,1/6/2009,2009,2009-Q1,/company/aiderss,http://www.postrank.com
sim4tec,software,,,,DEU,,Dresden,0,2/23/2008,2008,2008-Q1,/company/sim4tec,http://www.sim4tec.com
UCWeb,software,mobile internet service provider,"browser, mobile, cloud-computing, online-community",1/1/2004,CHN,,Guangzhou,0,1/1/2012,2012,2012-Q1,/company/ucweb,http://www.ucweb.com
Metasonic,software,,,,DEU,,Germany - Other,0,6/4/2009,2009,2009-Q2,/company/metasonic,http://www.metasonic.de
MediKeeper,software,Personal Healthcare management software,,,USA,CA,San Diego,0,10/15/2007,2007,2007-Q4,/company/medikeeper,http://www.medikeeper.com
Astoria Software,software,Content Management System,,1/1/1996,USA,CA,SF Bay,0,7/28/2009,2009,2009-Q3,/company/astoria-software,http://www.astoriasoftware.com
ShareMeme,software,,"launchbox08, twitter, communcation, text, organization",,,,unknown,0,4/1/2008,2008,2008-Q2,/company/sharememe,http://www.sharememe.com
Naabo Solutions,software,Medical Industry SaaS Service,,1/1/2007,IND,,Bangalore,0,8/13/2009,2009,2009-Q3,/company/naabo,http://naabo.com
Picsean,software,Comprehensive Digital Publishing soln.,"digital-publishing, ipad-publishing, ipad-apps, digital-magazine, publishing-platform, emagazine",1/4/2009,,,unknown,0,8/13/2009,2009,2009-Q3,/company/picsean,http://picsean.com
Vector Fabrics,software,,,,NLD,,Eindhoven,0,11/27/2008,2008,2008-Q4,/company/vector-fabrics,http://www.vectorfabrics.com
Ayehu Software Technologies,software,IT Process Automation solution,"it-process-automation, data-center-automation, run-book-automation, workflow, rba, itil, automation-tools, it-service, itsm, network-automation, process-workflow, run-book, database-tools, runbook-automation, incident-management",1/1/2007,ISR,,Tel Aviv,0,10/16/2008,2008,2008-Q4,/company/ayehu-software-technologies,http://www.ayehu.com
MiserWare,software,,,,USA,VA,Blacksburg,0,10/4/2008,2008,2008-Q4,/company/miserware,http://www.miserware.com
Reimage,software,Windows Problem Relief,"pc-repair, saas, whitelabel, small-business, reimage, windows-xp, winxp, sp3",1/1/2007,CYP,,Nicosia,0,1/1/2007,2007,2007-Q1,/company/reimage,http://www.reimageplus.com
EventHive,software,Interactive Software Conference Solution,,1/1/2009,,,unknown,0,,,,/company/eventhive,http://eventhive.com
Evident Software,software,"APM for NoSQL, Data Caching and Grid","grid-computing, oracle-coherence, nosql, cassandra, membase, memcached, hadoop",,USA,NJ,New York,0,9/1/2008,2008,2008-Q3,/company/evident-software,http://www.evidentsoftware.com
IMN,software,Content-driven E-Communications ,"ecommunication, digital-marketing, emarketing, email-marketing, social-networking, automotive, direct-selling, banking",1/1/1999,USA,MA,Boston,0,6/1/2008,2008,2008-Q2,/company/imn,http://www.imninc.com
ArtsApp,software,Monster.com for Multimedia,"arts, arts-management, media-management, audition, audition-software, creative-arts, audition-management-software",5/26/2008,USA,MN,Minneapolis,0,5/1/2009,2009,2009-Q2,/company/artsapp,http://artsapp.com
Allegro Development Corporation,software,,,1/1/1984,USA,TX,Dallas,0,1/31/2008,2008,2008-Q1,/company/allegro-development-corporation,http://www.allegrodev.com
Amcom Software,software,Communications Software Provider,,1/1/1984,USA,MN,Minneapolis,0,1/4/2010,2010,2010-Q1,/company/amcom-software,http://www.amcomsoftware.com
Macoscope,software,iOS + OS X software development company,apple-mac-macos-iphone,9/14/2009,POL,,Warsaw,0,9/1/2009,2009,2009-Q3,/company/macoscope,http://macoscope.com
Provision Interactive Technologies,software,Application Software,,,USA,CA,Los Angeles,0,12/9/2009,2009,2009-Q4,/company/provision-interactive-technologies,http://www.provision.tv
Jordan Training Technology Group,software,2D and 3D animation,,,JOR,,Amman,0,10/5/2009,2009,2009-Q4,/company/jordan-training-technology-group,http://www.rubicon.com.jo
NetWitness,software,,,1/1/2006,USA,VA,Washington DC,0,1/14/2010,2010,2010-Q1,/company/netwitness,http://www.netwitness.com
